PLAYER,NATION,POS,SQUAD,COMP,AGE,BORN,NINETIES_PLAYED,TOUCHES,TOUCHES_DEF_PEN,TOUCHES_DEF_3RD,TOUCHES_MID_3RD,TOUCHES_ATT_3RD,TOUCHES_ATT_PEN,LIVE_TOUCHES,TAKE_ONS_ATT,TAKE_ONS_SUCC,TAKE_ONS_SUCC_PCT,TAKE_ONS_TKLD,TAKE_ONS_TKLD_PCT,CARRIES,TOT_DIST,PRG_DIST,PRG_CARRIES,CARRIES_FINAL_THIRD,CARRIES_PEN_AREA,MISCONTROL,DISSPOSSESSED,PASSES_RECEIVED,PRG_PASSES_RECEIVED
Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,30,1993,37.0,2541,116,681,1222,647,67,2541,31,4,12.9,19,61.3,1202,5034,2675,50,31,6,28,14,1701,163
Boulaye Dia,SEN,"MF,FW",Lazio,Serie A,27,1996,24.2,802,19,85,436,293,94,802,42,17,40.5,22,52.4,452,2314,820,23,14,9,33,34,618,114
Mouctar Diakhaby,GUI,DF,Valencia,La Liga,27,1996,7.3,440,65,271,143,29,19,440,4,2,50.0,2,50.0,222,1013,486,5,6,0,5,2,270,2
Mamadou Diakhon,FRA,"FW,MF",Reims,Ligue 1,18,2005,9.5,379,8,42,137,217,46,379,61,25,41.0,31,50.8,288,3150,1568,61,37,32,29,13,299,77
Bafodé Diakité,FRA,DF,Lille,Ligue 1,23,2001,30.7,2475,199,973,1416,92,21,2475,9,9,100.0,0,0.0,1606,7489,4516,15,15,0,13,6,1891,3
Oumar Diakité,CIV,FW,Reims,Ligue 1,20,2003,18.1,580,13,73,282,239,57,579,57,20,35.1,35,61.4,319,1848,728,24,20,4,64,38,397,93
Amad Diallo,CIV,"MF,FW",Manchester Utd,Premier League,22,2002,21.1,1207,16,175,443,607,131,1207,88,41,46.6,43,48.9,782,5295,2750,109,53,66,42,35,854,200
Assane Diao,SEN,"FW,MF",Como,Serie A,18,2005,13.9,523,16,65,191,273,58,523,72,19,26.4,35,48.6,376,2757,1349,50,33,27,50,38,396,116
Assane Diao,SEN,FW,Betis,La Liga,18,2005,3.1,122,4,12,42,68,19,122,11,2,18.2,9,81.8,63,372,145,9,3,3,15,2,81,27
Habib Diarra,SEN,"MF,FW",Strasbourg,Ligue 1,20,2004,26.1,1214,50,276,610,342,42,1212,49,13,26.5,32,65.3,709,3457,1837,61,37,12,30,22,885,114
Moussa Diarra,MLI,DF,Alavés,La Liga,23,2000,20.7,1012,56,383,495,139,9,1012,14,7,50.0,5,35.7,499,2075,1080,12,10,2,17,15,584,31
Rúben Dias,POR,DF,Manchester City,Premier League,27,1997,25.2,2499,216,837,1361,307,26,2499,3,2,66.7,1,33.3,1775,10123,6017,43,65,1,8,1,2016,8
Krépin Diatta,SEN,"DF,FW",Monaco,Ligue 1,25,1999,5.6,373,14,72,192,114,9,373,13,8,61.5,4,30.8,205,1254,693,17,13,1,10,2,230,41
Kandet Diawara,GUI,FW,Le Havre,Ligue 1,24,2000,0.0,4,0,1,3,0,0,4,0,0,,0,,2,2,0,0,0,0,0,2,2,0
Mahamadou Diawara,FRA,MF,Le Havre,Ligue 1,19,2005,6.5,321,19,85,159,84,11,321,13,6,46.2,5,38.5,180,1062,502,9,5,0,8,7,183,6
Mahamadou Diawara,FRA,MF,Lyon,Ligue 1,19,2005,0.2,9,0,0,8,2,1,9,0,0,,0,,2,36,28,1,1,0,0,1,3,0
Brahim Díaz,MAR,"FW,MF",Real Madrid,La Liga,24,1999,15.4,833,5,76,417,350,66,833,47,24,51.1,19,40.4,541,2501,1223,39,16,12,44,27,669,110
Daniel Díaz,ESP,MF,Real Sociedad,La Liga,18,2006,0.1,6,0,2,1,3,1,6,1,0,0.0,1,100.0,1,0,0,0,0,0,0,0,4,0
Luis Díaz,COL,FW,Liverpool,Premier League,27,1997,26.7,1184,17,90,409,706,167,1184,116,53,45.7,51,44.0,780,5710,2960,108,55,56,55,49,933,293
Pedro Díaz,ESP,MF,Rayo Vallecano,La Liga,26,1998,13.5,707,7,116,337,265,19,706,34,20,58.8,13,38.2,390,2175,1177,27,30,2,24,8,459,49
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Tyler Dibling,ENG,"FW,MF",Southampton,Premier League,18,2006,20.8,868,27,129,390,369,41,868,110,45,40.9,43,39.1,558,4418,2215,69,50,26,44,55,651,96
Diego,ESP,FW,Leganés,La Liga,24,2000,13.3,322,11,20,135,171,44,322,10,4,40.0,6,60.0,192,777,291,9,11,5,45,12,246,49
Justin Diehl,GER,"FW,DF",Stuttgart,Bundesliga,19,2004,1.2,84,1,5,27,53,9,84,13,3,23.1,10,76.9,55,402,200,5,3,3,2,3,60,20
Bamba Dieng,SEN,FW,Angers,Ligue 1,24,2000,5.9,157,3,14,58,86,24,156,14,2,14.3,11,78.6,96,419,194,6,5,3,11,10,135,35
Eric Dier,ENG,DF,Bayern Munich,Bundesliga,30,1994,16.3,1591,127,535,994,67,19,1591,3,2,66.7,1,33.3,944,4081,2174,12,10,0,7,2,1157,1
Lucas Digne,FRA,DF,Aston Villa,Premier League,31,1993,26.1,1527,97,541,457,539,28,1527,19,9,47.4,9,47.4,683,2983,1346,23,14,4,17,16,820,142
Kembo Diliwidi,FRA,DF,Lens,Ligue 1,18,2006,0.0,4,0,0,1,3,1,4,1,0,0.0,1,100.0,1,3,0,0,0,0,0,0,1,0
Federico Dimarco,ITA,"DF,FW",Inter,Serie A,26,1997,24.2,1475,34,270,546,675,90,1475,10,4,40.0,6,60.0,789,3200,1822,47,35,13,18,10,1007,232
Stole Dimitrievski,MKD,GK,Valencia,La Liga,30,1993,4.0,143,96,135,9,0,0,143,0,0,,0,,68,362,240,0,0,0,1,0,52,0
Junior Dina Ebimbe,FRA,"MF,FW",Eint Frankfurt,Bundesliga,23,2000,3.3,161,5,27,74,62,16,161,11,5,45.5,5,45.5,82,408,197,5,6,3,8,4,105,27
Eren Dinkçi,GER,"MF,FW",Freiburg,Bundesliga,22,2001,13.3,552,6,71,259,233,36,552,39,16,41.0,23,59.0,269,1733,941,33,26,9,31,12,347,71
Sinaly Diomande,CIV,DF,Auxerre,Ligue 1,23,2001,21.6,1223,150,651,521,56,12,1223,14,8,57.1,4,28.6,698,3204,1679,8,5,0,12,6,756,8
Yan Diomandé,CIV,"MF,FW",Leganés,La Liga,17,2006,6.1,309,4,49,108,161,42,309,38,23,60.5,14,36.8,200,1582,966,37,16,20,26,16,204,64
Lois Diony,FRA,FW,Angers,Ligue 1,31,1992,0.2,6,0,0,1,5,2,6,0,0,,0,,4,19,0,0,0,0,2,0,6,2
Issa Diop,FRA,DF,Fulham,Premier League,27,1997,14.9,903,125,498,381,26,13,903,2,1,50.0,1,50.0,533,2426,1216,6,2,0,9,2,617,3
Sérigné Diop,SEN,FW,Brest,Ligue 1,19,2005,0.0,6,0,0,5,1,0,6,0,0,,0,,1,1,0,0,0,0,2,0,3,0
Sofiane Diop,FRA,"MF,FW",Nice,Ligue 1,24,2000,11.8,714,17,101,347,277,35,714,31,10,32.3,20,64.5,399,2069,944,26,19,4,20,18,508,70
Andy Diouf,FRA,MF,Lens,Ligue 1,21,2003,24.7,1367,23,158,741,505,51,1367,87,43,49.4,37,42.5,751,5197,2776,82,74,10,75,42,966,94
Yehvann Diouf,FRA,GK,Reims,Ligue 1,24,1999,34.0,1324,1062,1304,19,1,1,1324,2,2,100.0,0,0.0,684,3495,2108,0,0,0,2,0,575,0
Assane Dioussé,SEN,MF,Auxerre,Ligue 1,26,1997,7.4,431,19,115,271,52,4,431,6,2,33.3,3,50.0,276,1190,400,1,5,1,6,4,281,6
Axel Disasi,FRA,DF,Aston Villa,Premier League,26,1998,5.4,334,32,130,178,29,6,334,15,9,60.0,6,40.0,207,1268,621,10,8,2,3,2,223,5
Axel Disasi,FRA,DF,Chelsea,Premier League,26,1998,4.0,323,17,110,175,40,2,323,1,1,100.0,0,0.0,196,953,519,6,3,0,1,3,242,2
Roman Dixon,ENG,DF,Everton,Premier League,19,2004,1.0,36,8,19,14,4,0,36,3,0,0.0,3,100.0,16,107,48,0,0,0,2,0,13,1
Álvaro djaló,ESP,FW,Athletic Club,La Liga,24,1999,7.3,230,3,26,77,134,25,230,36,14,38.9,17,47.2,151,986,562,22,23,6,29,13,177,60
Djené,TOG,"DF,MF",Getafe,La Liga,32,1991,28.3,1164,88,406,606,168,17,1164,17,7,41.2,7,41.2,514,2525,1275,18,10,1,23,17,527,21
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Nasser Djiga,BFA,DF,Wolves,Premier League,21,2002,0.7,58,2,17,39,2,0,58,0,0,,0,,32,108,37,0,1,0,1,2,35,2
Berat Djimsiti,ALB,DF,Atalanta,Serie A,31,1993,29.3,2023,143,844,961,224,45,2023,4,1,25.0,1,25.0,1097,6008,3235,32,34,2,10,1,1323,42
Marko Dmitrović,SRB,GK,Leganés,La Liga,32,1992,32.0,1145,937,1132,13,0,0,1145,1,1,100.0,0,0.0,542,3220,1877,0,0,0,1,0,338,0
Ritsu Doan,JPN,"FW,MF",Freiburg,Bundesliga,26,1998,31.8,1537,40,215,665,679,108,1537,127,56,44.1,59,46.5,827,4440,2089,64,54,26,58,62,1031,178
Dodô,BRA,DF,Fiorentina,Serie A,25,1998,34.6,2083,74,579,929,606,66,2083,113,52,46.0,46,40.7,1278,8621,4996,143,84,34,73,26,1311,193
Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,26,1998,34.0,1654,182,783,739,143,64,1654,5,3,60.0,1,20.0,883,3986,1988,13,10,0,13,6,1000,14
Matt Doherty,IRL,DF,Wolves,Premier League,32,1992,23.4,1534,126,614,748,190,26,1534,21,11,52.4,7,33.3,825,3666,2176,29,20,4,11,5,982,41
Jeremy Doku,BEL,"FW,MF",Manchester City,Premier League,22,2002,16.8,1027,4,46,233,772,161,1027,201,107,53.2,60,29.9,796,7581,4865,213,95,109,59,59,854,286
Marc Domenech,ESP,"FW,MF",Mallorca,La Liga,18,2006,3.4,84,2,11,26,49,13,84,2,1,50.0,1,50.0,42,148,62,1,2,0,11,3,51,21
Álex Domínguez,ESP,GK,Toulouse,Ligue 1,26,1998,0.2,11,9,11,0,0,0,11,0,0,,0,,3,22,5,0,0,0,0,0,5,0
Benjamín Domínguez,ARG,FW,Bologna,Serie A,20,2003,14.2,555,6,34,200,335,55,555,74,28,37.8,41,55.4,396,2428,1263,50,26,23,45,33,420,123
Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,23,2001,13.1,1116,109,488,609,25,7,1116,3,2,66.7,1,33.3,683,3304,1981,15,12,0,5,0,802,4
Israel Domínguez,ESP,FW,Sevilla,La Liga,21,2003,0.2,2,0,0,2,0,0,2,0,0,,0,,1,3,0,0,0,0,0,0,2,0
Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,Premier League,26,1998,21.8,1218,78,303,630,295,33,1218,9,3,33.3,4,44.4,471,1863,924,16,14,2,23,12,676,33
Sergi Dominguez,ESP,DF,Barcelona,La Liga,19,2005,1.9,191,13,69,121,3,0,191,0,0,,0,,127,569,284,0,1,0,0,0,157,1
Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,25,1999,23.2,677,559,665,12,0,0,677,0,0,,0,,349,1664,1055,0,0,0,0,0,366,0
Patrick Dorgu,DEN,DF,Manchester Utd,Premier League,19,2004,9.4,602,16,155,206,244,32,602,13,3,23.1,6,46.2,354,1933,1209,41,17,7,12,10,399,83
Patrick Dorgu,DEN,"DF,FW",Lecce,Serie A,19,2004,20.4,1011,56,255,445,332,50,1011,44,13,29.5,25,56.8,557,3684,1871,68,40,20,37,37,658,117
Alfie Dorrington,ENG,DF,Tottenham,Premier League,19,2005,0.2,16,0,11,5,0,0,16,0,0,,0,,12,61,26,0,0,0,0,0,13,0
Niklas Dorsch,GER,MF,Augsburg,Bundesliga,26,1998,0.4,29,1,3,18,8,0,29,1,0,0.0,1,100.0,15,57,32,1,1,0,0,0,21,0
Niklas Dorsch,GER,MF,Heidenheim,Bundesliga,26,1998,14.8,798,32,190,480,147,8,798,14,7,50.0,6,42.9,459,2364,1013,13,10,1,16,13,489,21
Alberto Dossena,ITA,DF,Como,Serie A,25,1998,20.3,1220,173,677,517,31,20,1220,6,4,66.7,2,33.3,693,2716,1465,4,1,0,8,3,776,1
Abdoulaye Doucouré,MLI,MF,Everton,Premier League,31,1993,28.5,1161,32,225,538,413,65,1161,45,24,53.3,21,46.7,604,2952,1396,42,26,8,38,38,750,96
Cheick Doucouré,MLI,MF,Crystal Palace,Premier League,24,2000,5.0,263,11,56,165,45,4,263,5,2,40.0,2,40.0,133,581,280,2,7,1,4,7,160,7
Sékou Doucoure,FRA,DF,Nantes,Ligue 1,19,2005,0.1,8,3,4,4,0,0,8,0,0,,0,,5,13,4,0,0,0,0,0,5,0
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Désiré Doué,FRA,"FW,MF",Paris S-G,Ligue 1,19,2005,19.2,1461,4,137,646,701,123,1461,129,57,44.2,61,47.3,899,5730,3076,97,50,47,54,37,1164,232
Guela Doué,CIV,DF,Strasbourg,Ligue 1,21,2002,30.2,2421,155,1004,1150,287,31,2421,41,27,65.9,14,34.1,1184,5408,3109,51,22,4,43,13,1505,54
Douglas,BRA,MF,Nantes,Ligue 1,27,1997,25.6,1478,69,363,886,238,44,1478,20,12,60.0,7,35.0,715,3232,1533,14,10,1,18,14,941,34
Ismaël Doukouré,FRA,"DF,MF",Strasbourg,Ligue 1,21,2003,29.3,1944,202,847,1022,84,7,1944,17,13,76.5,4,23.5,1149,4814,2653,20,5,0,21,18,1385,9
Issa Doumbia,CIV,MF,Venezia,Serie A,20,2003,10.4,401,15,87,202,120,16,401,16,11,68.8,3,18.8,219,1112,584,12,11,3,25,18,242,29
Kamory Doumbia,MLI,"MF,FW",Brest,Ligue 1,21,2003,14.7,895,18,149,498,260,34,895,35,19,54.3,16,45.7,467,2254,1007,17,20,3,42,24,567,54
Amidou Doumbouya,FRA,DF,Nice,Ligue 1,16,2007,0.5,31,2,13,13,5,0,31,1,1,100.0,0,0.0,17,87,36,1,0,0,0,1,19,0
Anastasios Douvikas,GRE,FW,Como,Serie A,24,1999,6.4,182,2,13,73,99,34,182,9,5,55.6,4,44.4,113,498,174,8,8,8,25,12,134,36
Anastasios Douvikas,GRE,FW,Celta Vigo,La Liga,24,1999,7.8,192,12,18,84,94,32,192,13,4,30.8,7,53.8,120,585,150,6,7,4,23,19,149,43
Artem Dovbyk,UKR,FW,Roma,Serie A,27,1997,26.9,654,15,29,261,365,145,652,18,7,38.9,11,61.1,355,1332,447,24,10,14,79,33,504,175
Flynn Downes,ENG,MF,Southampton,Premier League,25,1999,23.9,1339,99,403,719,227,21,1339,20,8,40.0,8,40.0,641,3520,1826,29,21,4,15,17,945,29
Tommy Doyle,ENG,MF,Wolves,Premier League,22,2001,5.4,463,22,128,258,80,4,463,9,5,55.6,1,11.1,260,1417,578,6,3,0,9,4,303,4
Radu Drăgușin,ROU,DF,Tottenham,Premier League,22,2002,13.9,961,148,510,430,30,12,961,2,0,0.0,0,0.0,623,3349,1666,7,3,0,8,2,669,2
Patrick Drewes,GER,GK,Bochum,Bundesliga,31,1993,21.0,913,709,902,11,0,0,913,0,0,,0,,479,2471,1284,0,0,0,0,0,425,0
Tim Drexler,GER,DF,Hoffenheim,Bundesliga,19,2005,4.0,223,18,91,125,11,0,223,0,0,,0,,128,483,208,2,2,0,3,5,143,2
Domingos Duarte,POR,DF,Getafe,La Liga,29,1995,20.7,878,110,454,412,22,9,878,0,0,,0,,373,1673,626,3,2,0,2,2,394,3
Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,35,1989,10.0,350,262,337,14,0,0,350,0,0,,0,,202,1043,643,0,0,0,0,0,175,0
Marvin Ducksch,GER,FW,Werder Bremen,Bundesliga,30,1994,26.9,1105,31,83,457,575,116,1103,19,7,36.8,11,57.9,538,1826,816,26,20,12,31,11,673,166
Ondrej Duda,SVK,MF,Hellas Verona,Serie A,29,1994,26.6,1467,73,302,876,309,5,1467,42,25,59.5,12,28.6,711,3602,1424,23,26,2,53,22,789,26
Duk,CPV,"MF,FW",Leganés,La Liga,24,2000,2.0,95,2,12,29,56,9,95,19,10,52.6,8,42.1,64,428,207,10,4,5,12,5,64,21
Denzel Dumfries,NED,"DF,FW",Inter,Serie A,28,1996,21.7,1047,35,182,423,457,95,1047,45,13,28.9,28,62.2,534,2737,1311,55,27,15,27,14,665,173
Alfred Duncan,GHA,MF,Venezia,Serie A,31,1993,10.6,587,15,93,360,142,6,587,22,13,59.1,8,36.4,311,1468,676,11,14,0,14,14,381,12
Lewis Dunk,ENG,DF,Brighton,Premier League,32,1991,23.1,2127,258,993,1031,113,21,2127,1,0,0.0,1,100.0,1341,6155,3345,20,19,0,9,3,1556,3
Jáder Durán,COL,FW,Aston Villa,Premier League,20,2003,7.1,263,13,36,110,122,47,263,14,3,21.4,9,64.3,133,535,267,7,7,2,16,15,192,44
Pablo Durán,ESP,"FW,MF",Celta Vigo,La Liga,23,2001,15.5,584,11,68,257,265,64,584,42,12,28.6,28,66.7,338,1578,643,24,14,13,42,20,401,124
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Julien Duranville,BEL,"FW,MF",Dortmund,Bundesliga,18,2006,3.1,135,2,8,36,93,17,135,30,12,40.0,12,40.0,102,781,412,16,9,9,6,15,109,33
Hugo Duro,ESP,FW,Valencia,La Liga,24,1999,24.1,634,15,47,328,265,90,633,20,7,35.0,13,65.0,297,1037,364,13,8,7,58,32,471,88
Jean-Kevin Duverne,HAI,DF,Nantes,Ligue 1,27,1997,6.0,378,28,132,185,61,3,378,5,2,40.0,1,20.0,161,670,327,6,8,1,6,3,198,8
Paulo Dybala,ARG,"FW,MF",Roma,Serie A,30,1993,15.7,909,6,67,415,439,75,906,43,11,25.6,17,39.5,595,3180,1472,41,42,17,40,28,709,122
Stefan Džodić,SRB,"DF,MF",Montpellier,Ligue 1,19,2005,2.7,210,19,80,110,20,2,210,0,0,,0,,127,702,406,2,3,0,0,1,153,0
Adam Dźwigała,POL,"DF,MF",St. Pauli,Bundesliga,28,1995,4.1,280,30,106,138,36,6,280,2,1,50.0,1,50.0,110,363,164,1,0,0,2,2,152,4
Aron Dønnum,NOR,"DF,MF",Toulouse,Ligue 1,26,1998,29.9,1542,58,318,693,560,72,1542,104,47,45.2,48,46.2,862,5805,3249,94,52,26,44,38,913,142
Enzo Ebosse,CMR,DF,Udinese,Serie A,25,1999,1.0,61,8,18,38,5,0,61,1,1,100.0,0,0.0,34,136,48,0,0,0,1,0,37,0
Tyronne Ebuehi,NGA,"DF,MF",Empoli,Serie A,28,1995,0.8,59,1,5,30,24,3,59,1,1,100.0,0,0.0,20,93,45,3,0,2,3,2,19,3
Claudio Echeverri,ARG,FW,Manchester City,Premier League,18,2006,0.1,3,0,0,2,1,0,3,0,0,,0,,3,28,12,0,0,0,0,1,3,1
Ederson,BRA,GK,Manchester City,Premier League,30,1993,25.8,975,689,962,13,0,0,975,0,0,,0,,654,3060,1981,0,0,0,1,0,616,0
Éderson,BRA,MF,Atalanta,Serie A,25,1999,32.0,2308,63,490,1273,572,56,2308,52,23,44.2,26,50.0,1490,7017,3366,40,57,12,44,41,1702,79
Noah Edjouma,FRA,"MF,FW",Toulouse,Ligue 1,18,2005,1.9,90,3,10,27,55,13,90,14,4,28.6,10,71.4,62,377,178,8,7,2,7,6,58,17
George Edmundson,ENG,DF,Ipswich Town,Premier League,26,1997,0.0,3,1,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,0,1,0
Odsonne Édouard,FRA,"MF,FW",Crystal Palace,Premier League,26,1998,1.3,45,1,4,23,18,8,45,1,0,0.0,1,100.0,23,107,50,2,1,2,4,1,26,7
Odsonne Édouard,FRA,FW,Leicester City,Premier League,26,1998,0.3,20,1,2,7,11,6,20,2,1,50.0,1,50.0,11,25,2,0,0,1,7,2,13,2
Samuel Edozie,ENG,"DF,FW",Southampton,Premier League,21,2003,0.7,43,0,0,7,36,10,43,4,2,50.0,2,50.0,34,336,197,6,2,4,4,0,39,23
Ronnie Edwards,ENG,DF,Southampton,Premier League,21,2003,0.1,6,3,4,2,0,0,6,0,0,,0,,3,10,0,0,0,0,0,0,5,0
Johannes Eggestein,GER,FW,St. Pauli,Bundesliga,26,1998,20.6,713,6,46,371,302,78,711,17,7,41.2,10,58.8,384,1704,615,25,17,8,53,30,543,138
Maximilian Eggestein,GER,MF,Freiburg,Bundesliga,27,1996,31.6,1757,66,403,1054,315,50,1757,24,11,45.8,13,54.2,813,4178,2107,34,25,3,28,19,1093,41
Kingsley Ehizibue,NED,DF,Udinese,Serie A,29,1995,27.8,1272,81,381,520,386,35,1272,30,12,40.0,15,50.0,576,2970,1506,54,36,9,29,21,629,116
Chidera Ejuke,NGA,FW,Sevilla,La Liga,26,1998,10.7,612,6,66,272,292,43,612,85,47,55.3,33,38.8,416,3355,1898,75,35,26,35,22,443,101
Jeff Ekhator,ITA,"FW,MF",Genoa,Serie A,17,2006,8.5,254,9,34,96,130,26,254,13,4,30.8,6,46.2,130,631,163,4,5,5,34,9,170,51
Hugo Ekitike,FRA,FW,Eint Frankfurt,Bundesliga,22,2002,28.5,1054,27,68,430,583,196,1051,119,52,43.7,61,51.3,633,4443,2307,93,57,52,99,34,777,215
Jurgen Ekkelenkamp,NED,MF,Udinese,Serie A,24,2000,21.0,868,29,148,445,287,39,868,30,10,33.3,17,56.7,457,2429,1209,34,28,5,23,7,560,86
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Jacques Ekomie,GAB,"DF,FW",Angers,Ligue 1,20,2003,7.7,358,18,99,128,134,7,358,21,4,19.0,13,61.9,135,751,375,13,14,0,9,12,161,24
Emmanuel Ekong,SWE,"MF,FW",Empoli,Serie A,22,2002,2.1,84,0,11,29,46,6,84,20,7,35.0,11,55.0,50,455,215,8,2,5,8,9,65,19
Caleb Ekuban,GHA,FW,Genoa,Serie A,30,1994,6.2,174,6,18,70,89,26,174,10,3,30.0,7,70.0,97,487,217,7,4,4,17,12,125,42
Pierre Ekwah Elimby,FRA,MF,Saint-Étienne,Ligue 1,22,2002,28.6,1885,123,560,1095,250,7,1885,32,18,56.3,12,37.5,907,4351,2004,20,14,1,29,17,1307,21
Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,Premier League,22,2002,27.8,1115,29,136,319,679,110,1115,83,25,30.1,39,47.0,600,4509,2544,102,45,48,79,43,764,229
Meschak Elia,COD,FW,Nantes,Ligue 1,26,1997,1.9,99,1,18,36,47,8,99,11,2,18.2,9,81.8,61,409,180,9,3,2,7,2,61,22
Mikael Ellertsson,ISL,"DF,MF",Venezia,Serie A,22,2002,27.4,938,59,263,365,323,51,938,42,16,38.1,21,50.0,460,2324,1153,33,21,10,48,19,518,92
Harvey Elliott,ENG,MF,Liverpool,Premier League,21,2003,4.1,339,5,32,164,144,21,339,9,4,44.4,4,44.4,188,872,408,10,11,5,5,4,253,30
Elif Elmas,MKD,"FW,MF",Torino,Serie A,24,1999,11.3,444,5,44,187,220,38,444,38,13,34.2,20,52.6,303,2280,1175,42,28,14,22,10,324,58
Elif Elmas,MKD,MF,RB Leipzig,Bundesliga,24,1999,0.5,28,1,10,13,5,2,28,1,1,100.0,0,0.0,13,33,11,0,0,0,0,2,17,2
Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,30,1994,16.2,1092,100,462,581,53,12,1092,8,3,37.5,4,50.0,624,3425,1854,17,6,1,14,6,709,4
Nico Elvedi,SUI,DF,Gladbach,Bundesliga,27,1996,23.7,1827,352,1052,730,48,17,1827,0,0,,0,,953,4744,2540,20,12,0,6,1,1152,5
Adri Embarba,ESP,"FW,MF",Rayo Vallecano,La Liga,32,1992,17.9,847,17,104,333,433,44,847,56,20,35.7,30,53.6,467,2748,1257,47,33,12,61,24,527,114
Breel Embolo,SUI,"FW,MF",Monaco,Ligue 1,27,1997,20.5,668,13,57,289,329,121,668,42,14,33.3,25,59.5,397,1708,715,22,15,12,64,53,499,140
Emanuel Emegha,NED,FW,Strasbourg,Ligue 1,21,2003,25.5,577,36,86,249,249,99,577,28,7,25.0,20,71.4,341,1850,860,37,20,32,59,30,423,104
Emerson,BRA,DF,Milan,Serie A,25,1999,15.3,1102,56,312,526,271,22,1102,18,7,38.9,9,50.0,584,2423,1228,23,19,3,18,10,710,71
Yunus Emre Konak,TUR,"FW,MF",Brentford,Premier League,18,2006,0.5,53,0,9,27,17,0,53,2,0,0.0,2,100.0,17,67,41,1,1,1,3,3,28,2
Julio Enciso,PAR,"MF,FW",Ipswich Town,Premier League,20,2004,9.7,406,5,52,202,167,23,406,66,30,45.5,28,42.4,205,1537,793,23,25,9,24,30,262,44
Julio Enciso,PAR,"MF,FW",Brighton,Premier League,20,2004,3.3,202,2,17,72,116,20,202,21,10,47.6,8,38.1,114,678,386,11,10,4,7,9,141,17
Wataru Endo,JPN,"MF,DF",Liverpool,Premier League,31,1993,3.0,237,12,65,124,49,3,237,2,2,100.0,0,0.0,110,397,169,1,3,1,6,3,163,8
Endrick,BRA,FW,Real Madrid,La Liga,18,2006,4.0,127,1,7,41,80,23,127,11,4,36.4,6,54.5,83,569,308,12,5,10,10,3,103,32
Yannik Engelhardt,GER,"MF,DF",Como,Serie A,23,2001,12.9,836,42,204,510,130,16,836,15,9,60.0,3,20.0,525,2734,1250,18,13,2,22,7,553,18
Arne Engels,BEL,"MF,FW",Augsburg,Bundesliga,20,2003,0.9,32,1,1,14,17,2,32,1,0,0.0,1,100.0,17,75,38,1,3,0,0,0,24,5
Christian Eriksen,DEN,MF,Manchester Utd,Premier League,32,1992,11.8,850,26,173,397,284,17,849,4,0,0.0,4,100.0,473,1784,851,13,14,1,13,5,566,29
Martin Erlic,CRO,DF,Bologna,Serie A,26,1998,3.7,268,22,102,153,13,7,268,1,0,0.0,0,0.0,179,832,465,4,1,0,2,0,201,1
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Patrick Erras,GER,DF,Holstein Kiel,Bundesliga,29,1995,9.2,622,124,357,242,23,14,622,0,0,,0,,282,1063,596,3,1,0,3,0,413,1
Alfonso Espino,URU,DF,Rayo Vallecano,La Liga,32,1992,9.3,637,39,217,288,139,10,637,14,5,35.7,7,50.0,307,1262,675,10,13,4,10,9,333,29
